ENTERPRISE_NAME,SHOP_ID,SHOP_NAME,STATE,COUNTRY,MONTH,WORKING_DAYS,YEAR,QUARTER,RO_COUNT,PAINT_LABOUR_HOURS,PAINT_MATERIAL_SALES,PARTS_SALES,SUBLET_SALES,LABOUR_SALES,LABOUR_HOURS,BODY_LABOUR_HOURS,TOTAL_SALES,OTHER_SALES,ARRIVED_TO_DELIVERED_DAYS,ARRIVED_TO_STARTED_DAYS,COMPLETED_TO_DELIVERED_DAYS,STARTED_TO_COMPLETED_DAYS,DELIVERED_TO_CLOSED_DAYS,PARTS_COST,GROSS_PROFIT_AMOUNT,RECYCLED_PARTS_AMOUNT,OEM_PARTS_AMOUNT,AM_PARTS_AMOUNT,NON_OEM_PARTS_AMOUNT,TOWING_AMOUNT,PAINT_LABOUR_AMOUNT,BODY_LABOUR_AMOUNT,FRAME_LABOUR_AMOUNT,OTHER_LABOUR_AMOUNT,LABOUR_COST,PAINT_LABOUR_COST,BODY_LABOUR_COST,FRAME_LABOUR_COST,MECHANICAL_LABOUR_COST,OTHER_LABOUR_COST,FRAME_LABOUR_HOURS,MECHANICAL_LABOUR_HOURS,OTHER_LABOUR_HOURS,MATERIALS_COST,SUBLET_COST,RENTAL_COST,HAZARDOUS_WASTE_COST,PARTS_TO_GROSSPROFIT_PERCENT,PARTS_GROSSPROFIT_AMOUNT,PARTS_TO_TOTALSALES_PERCENT,PARTS_SALES_PER_RO,PARTS_COST_PER_RO,RECYCLEDPARTS_TO_TOTAL_PARTSALES_PERCENT,OEMPARTS_TO_TOTAL_PARTSALES_PERCENT,AMPARTS_TO_TOTAL_PARTSALES_PERCENT,NONOEMPARTS_TO_TOTAL_PARTSALES_PERCENT,DISCOUNT_AMOUNT,DISCOUNT_PERCENT,IS_COLLISION_RO
MSO 1,mockshop-1111-4a19-b398-aa425e30caed,MSO 1 - Shop A,Nebraska,United States,April,21,2024,Q2,12,120.9999997615,6429.3000000000,29037.8596000000,13412.1002000000,24819.3999000000,365.5999981760,228.5999982358,74515.0696000000,749.9099000000,126,,20,,12,21222.4702000000,77683.2905000000,2475.0000000000,25118.4296000000,1444.4300000000,3919.4300000000,0.0000000000,8062.3000000000,15295.0999000000,311.0000000000,0.0000000000,480.0000000000,0.0000000000,480.0000000000,0.0000000000,0.0000000000,0.0000000000,4.0000000000,12.0000001789,0.0000000000,4666.4865000000,10720.5999000000,,0.0000000000,0.100605797588,7815.3894000000,0.373798012585,2419.821633333333,1768.539183333333,0.085233554886,0.865023453726,0.049742991388,0.134976546274,,,TRUE
MSO 1,mockshop-1111-4a19-b398-aa425e30caed,MSO 1 - Shop A,Nebraska,United States,October,21,2023,Q4,173,1637.0000052451,86329.8202000000,381772.8601000000,143818.3902000000,358022.7193000000,5315.0000024883,3452.2999969121,985131.5016000000,29424.4818000000,2397,,420,,173,268683.4601000000,1023811.6609000000,10539.2300000000,345237.7202000000,25995.9099000000,36535.1399000000,2738.2400000000,107843.1000000000,229195.7193000000,5079.0000000000,200.0000000000,6736.1600000000,0.0000000000,6736.1600000000,0.0000000000,0.0000000000,0.0000000000,63.0000000000,160.7000003306,2.0000000000,63264.5002000000,107965.8302000000,,0.0000000000,0.110459183382,113089.4000000000,0.372893643118,2206.779538150289,1553.083584393064,0.027606022066,0.904301369431,0.068092608503,0.095698630569,,,TRUE
MSO 1,mockshop-1111-4a19-b398-aa425e30caed,MSO 1 - Shop A,Nebraska,United States,January,21,2023,Q1,169,1724.4000049833,86620.2900000000,495241.1382000000,121939.5895000000,360439.4001000000,5421.2999920260,3289.5999882973,1077681.5767000000,21227.7589000000,2304,,372,,169,377880.3008000000,1126767.2265000000,5107.2500000000,465719.9282000000,23499.9600000000,29521.2100000000,1720.1300000000,111226.9000000000,212589.7001000000,6542.0000000000,320.0000000000,2870.4000000000,0.0000000000,2870.4000000000,0.0000000000,0.0000000000,0.0000000000,83.0000000000,321.2999987452,3.0000000000,63171.7710000000,88139.8901000000,,0.0000000000,0.104157127257,117360.8374000000,0.439523911020,2930.420936094675,2235.978111242604,0.010312652981,0.940390230692,0.047451550744,0.059609769308,,,TRUE
MSO 1,mockshop-1111-4a19-b398-aa425e30caed,MSO 1 - Shop A,Nebraska,United States,August,22,2023,Q3,253,2221.1000059840,117778.4200000000,585671.6222000000,233637.3905000000,501813.3998000000,7418.7000136676,4860.0000070340,1454582.3410000000,36984.5786000000,3142,,545,,253,409838.2704000000,1512898.9996000000,22950.6699000000,500239.3722000000,61679.9101000000,85432.2500000000,786.4500000000,148150.6001000000,322681.9997000000,5404.5000000000,1750.0000000000,14034.8100000000,0.0000000000,14034.8100000000,0.0000000000,0.0000000000,0.0000000000,67.1999998093,252.4000008404,18.0000000000,84843.2325000000,169854.5002000000,,0.0000000000,0.116222796001,175833.3518000000,0.387118784767,2314.907597628458,1619.914112252964,0.039186924942,0.854129435742,0.105314834733,0.145870564258,,,TRUE
MSO 1,mockshop-1111-4a19-b398-aa425e30caed,MSO 1 - Shop A,Nebraska,United States,February,19,2023,Q1,189,1855.5999968803,94387.1499000000,572668.3377000000,150136.6798000000,396976.4800000000,5952.1999953169,3653.5999978108,1230166.5994000000,24804.4419000000,2645,,472,,189,416916.5414000000,1285642.2592000000,27862.7500000000,520068.4377000000,22892.9300000000,52599.9000000000,2957.8300000000,120156.8000000000,237052.5800000000,4619.5000000000,560.0000000000,2540.0000000000,0.0000000000,2540.0000000000,0.0000000000,0.0000000000,0.0000000000,59.5000000000,377.5000006255,6.0000000000,68908.3459000000,112183.1300000000,,0.0000000000,0.121147072746,155751.7963000000,0.445433660571,3029.991204761905,2205.907626455026,0.048654252673,0.908149453118,0.039975896156,0.091850546882,,,TRUE
MSO 1,mockshop-1111-4a19-b398-aa425e30caed,MSO 1 - Shop A,Nebraska,United States,January,22,2024,Q1,184,1714.4000014664,93326.6800000000,478913.1897000000,127566.4504000000,368007.4003000000,5400.8000014351,3457.6999995855,1082871.8386000000,32770.6382000000,3105,,489,,184,337538.7996000000,1130943.2572000000,25624.3599000000,422650.5398000000,28625.8700000000,56262.6499000000,2077.5900000000,115051.3000000000,231896.9003000000,4496.0000000000,200.0000000000,3452.4200000000,0.0000000000,3452.4200000000,0.0000000000,0.0000000000,0.0000000000,56.0000000000,170.7000003828,2.0000000000,68162.7310000000,96362.2500000000,,0.0000000000,0.125005732339,141374.3901000000,0.423463499739,2602.789074456522,1834.449997826087,0.053505229029,0.882520149559,0.059772565500,0.117479850441,,,TRUE
MSO 1,mockshop-1111-4a19-b398-aa425e30caed,MSO 1 - Shop A,Nebraska,United States,March,21,2024,Q1,129,1173.0999964480,63689.4000000000,352956.0013000000,95071.4002000000,263675.5996000000,3863.6999867116,2488.9999892712,786932.6130000000,15495.5719000000,1892,,259,,129,240997.7400000000,820886.7192000000,7749.4800000000,306381.9814000000,34084.8399000000,46574.0199000000,2250.5200000000,78686.2000000000,166335.8996000000,4872.0000000000,900.0000000000,2196.1600000000,0.0000000000,2196.1600000000,0.0000000000,0.0000000000,0.0000000000,63.0000000000,129.6000009923,9.0000000000,46823.1790000000,75991.1900000000,,0.0000000000,0.136386980909,111958.2613000000,0.429969194341,2736.093033333333,1868.199534883721,0.021955937770,0.868045819512,0.096569656769,0.131954180488,,,TRUE
MSO 1,mockshop-1111-4a19-b398-aa425e30caed,MSO 1 - Shop A,Nebraska,United States,December,21,2023,Q4,175,1691.2000004644,89521.3000000000,424780.9007000000,125615.3205000000,373663.4005000000,5446.7000064329,3526.1000071759,1029231.6660000000,43712.2943000000,2998,,414,,175,300020.7797000000,1073040.8622000000,17343.8500000000,366356.7607000000,38878.4300000000,58424.1400000000,2741.8900000000,114078.0000000000,238263.5005000000,4918.0000000000,1965.0000000000,3541.1200000000,0.0000000000,3541.1200000000,0.0000000000,0.0000000000,0.0000000000,61.0000000000,148.3999987913,20.0000000000,65862.0950000000,94519.3399000000,,0.0000000000,0.116267819237,124760.1210000000,0.395866472251,2427.319432571429,1714.404455428571,0.040830107878,0.862460529879,0.091525842937,0.137539470121,,,TRUE
MSO 1,mockshop-1111-4a19-b398-aa425e30caed,MSO 1 - Shop A,Nebraska,United States,February,20,2024,Q1,170,1534.6000084285,84061.4400000000,482491.5908000000,121590.3099000000,357744.6999000000,5139.5000067875,3384.6999985953,1062218.8562000000,32762.3056000000,2526,,325,,170,340941.6304000000,1107441.1585000000,17423.5000000000,427428.9705000000,33698.4402000000,55062.6203000000,3573.1900000000,104703.2500000000,232666.2499000000,5514.5000000000,400.0000000000,3466.5600000000,0.0000000000,3466.5600000000,0.0000000000,0.0000000000,0.0000000000,67.5000000000,148.6999997641,4.0000000000,62102.6445000000,94114.1502000000,,0.0000000000,0.127817138918,141549.9604000000,0.435681469030,2838.185828235294,2005.539002352941,0.036111510195,0.885878590736,0.069842544083,0.114121409264,,,TRUE
MSO 1,mockshop-1111-4a19-b398-aa425e30caed,MSO 1 - Shop A,Nebraska,United States,July,20,2023,Q3,179,1566.4999990245,83548.1000000000,417217.6494000000,113299.5996000000,343733.8106000000,5054.7000096293,3136.6000120790,968356.3164000000,38705.6569000000,2122,,380,,179,290295.6194000000,1010643.6811000000,11545.6500000000,371580.8796000000,31155.5198000000,45636.7698000000,938.8000000000,103779.0000000000,207782.1106000000,4715.5000000000,2150.0000000000,5204.8400000000,0.0000000000,5204.8400000000,0.0000000000,0.0000000000,0.0000000000,56.5000000000,273.1999989078,21.8999996185,59733.5765000000,82914.8899000000,,0.0000000000,0.125585339693,126922.0300000000,0.412823685738,2330.824856983240,1621.763236871508,0.027672966416,0.890616396824,0.074674501054,0.109383603176,,,TRUE
